SinhVienKey,MaSinhVien,HoTen,GioiTinh,NgaySinh,QueQuan,NgayNhapHoc,KhoaHoc,NamSinhVien,TrangThaiHocTap,LopKey,NganhKey,KhoaKey,NhomNangLuc
743,SV14011041,Nam Nguyễn,Nam,2005-09-14,Quảng Ninh,2023-08-11,Khóa 14,3,Đang học,11,3,1,Khá
744,SV14011042,Ông Dũng Mai,Nam,2005-04-24,Ninh Bình,2023-09-09,Khóa 14,3,Cảnh báo học vụ,11,3,1,Khá
745,SV14011043,Quang Thị Vũ,Nam,2005-01-05,Hà Nội,2023-09-09,Khóa 14,3,Đang học,11,3,1,Trung bình
746,SV14011044,Vân Dương,Nữ,2005-02-26,Hải Phòng,2023-09-03,Khóa 14,3,Cảnh báo học vụ,11,3,1,Khá
747,SV14011045,Anh Văn Bùi,Nam,2005-10-01,Bắc Ninh,2023-09-22,Khóa 14,3,Đang học,11,3,1,Khá
748,SV14011046,Anh Nam Phạm,Nam,2005-07-11,Vĩnh Phúc,2023-08-29,Khóa 14,3,Đang học,11,3,1,Khá
749,SV14011047,Thành Hoàng Mai,Nam,2005-02-02,Vĩnh Phúc,2023-08-02,Khóa 14,3,Đang học,11,3,1,Khá
750,SV14011048,Cô Lâm Vũ,Nữ,2005-01-31,Phú Thọ,2023-09-17,Khóa 14,3,Đang học,11,3,1,Yếu
751,SV14011049,Mai Trần,Nữ,2005-03-26,Hà Nam,2023-09-10,Khóa 14,3,Đang học,11,3,1,Yếu
752,SV14011050,Hạnh Hoàng,Nữ,2005-11-25,Bắc Giang,2023-08-22,Khóa 14,3,Đang học,11,3,1,Khá
753,SV14011051,Châu Hữu Nguyễn,Nam,2005-03-15,Hải Dương,2023-08-06,Khóa 14,3,Đang học,11,3,1,Trung bình
754,SV14011052,Nhật Hữu Phạm,Nam,2005-03-17,Bắc Giang,2023-09-15,Khóa 14,3,Đang học,11,3,1,Khá
755,SV14011053,Thành Mai Bảo Mai,Nam,2005-11-28,Phú Thọ,2023-09-26,Khóa 14,3,Đang học,11,3,1,Giỏi
756,SV14011054,Cô Lan Mai,Nữ,2005-05-03,Hưng Yên,2023-08-15,Khóa 14,3,Đang học,11,3,1,Giỏi
757,SV14011055,Cô Lâm Lê,Nữ,2005-10-22,Vĩnh Phúc,2023-08-27,Khóa 14,3,Đang học,11,3,1,Khá
758,SV14011056,Khoa Thị Dương,Nam,2005-07-21,Thanh Hóa,2023-08-19,Khóa 14,3,Đang học,11,3,1,Khá
759,SV14011057,Chị Hạnh Trần,Nữ,2005-05-14,Hà Nam,2023-08-27,Khóa 14,3,Đang học,11,3,1,Khá
760,SV14011058,Anh Bảo Mai,Nam,2005-09-24,Phú Thọ,2023-08-18,Khóa 14,3,Đang học,11,3,1,Khá
761,SV14011059,Thành Thế Nguyễn,Nam,2005-05-26,Ninh Bình,2023-08-23,Khóa 14,3,Đang học,11,3,1,Trung bình
762,SV14011060,Anh Châu Vũ,Nam,2005-01-08,Thanh Hóa,2023-08-01,Khóa 14,3,Đang học,11,3,1,Khá
763,SV14011061,Khoa Thị Hoàng,Nam,2005-12-22,Ninh Bình,2023-08-29,Khóa 14,3,Đang học,11,3,1,Trung bình
764,SV14011062,An Mai Bảo Vũ,Nam,2005-02-07,Phú Thọ,2023-08-09,Khóa 14,3,Đang học,11,3,1,Trung bình
765,SV14011063,Nhiên Mai Bảo Vũ,Nam,2005-01-28,Bắc Ninh,2023-09-01,Khóa 14,3,Đang học,11,3,1,Giỏi
766,SV14011064,Dũng Nguyễn,Nam,2005-02-17,Thanh Hóa,2023-09-18,Khóa 14,3,Đang học,11,3,1,Khá
767,SV15012001,Khoa Trần,Nam,2006-10-09,Hải Phòng,2024-09-14,Khóa 15,2,Đang học,12,3,1,Khá
768,SV15012002,Bác Nhiên Nguyễn,Nam,2006-11-13,Phú Thọ,2024-08-10,Khóa 15,2,Đang học,12,3,1,Xuất sắc
769,SV15012003,Hạnh Thế Lê,Nam,2006-05-14,Thái Bình,2024-09-04,Khóa 15,2,Đang học,12,3,1,Khá
770,SV15012004,Huy Đức Trần,Nam,2006-06-11,Thái Nguyên,2024-09-22,Khóa 15,2,Cảnh báo học vụ,12,3,1,Trung bình
771,SV15012005,Bảo Thị Mai,Nam,2006-04-05,Phú Thọ,2024-09-26,Khóa 15,2,Đang học,12,3,1,Khá
772,SV15012006,Bác Tùng Mai,Nam,2006-12-25,Ninh Bình,2024-08-14,Khóa 15,2,Cảnh báo học vụ,12,3,1,Yếu
773,SV15012007,Quý cô Bảo Hoàng,Nữ,2006-08-14,Bắc Ninh,2024-09-03,Khóa 15,2,Đang học,12,3,1,Trung bình
774,SV15012008,Nhật Thị Lê,Nam,2006-11-04,Thái Nguyên,2024-09-12,Khóa 15,2,Đang học,12,3,1,Khá
775,SV15012009,Hạnh Hải Lê,Nam,2006-04-12,Thái Nguyên,2024-09-02,Khóa 15,2,Đang học,12,3,1,Trung bình
776,SV15012010,Quang Đặng,Nam,2006-07-10,Hưng Yên,2024-09-07,Khóa 15,2,Đang học,12,3,1,Khá
777,SV15012011,Anh Hoàng,Nam,2006-05-28,Hưng Yên,2024-08-25,Khóa 15,2,Đang học,12,3,1,Trung bình
778,SV15012012,Châu Mai Đặng,Nam,2006-02-16,Thái Nguyên,2024-09-04,Khóa 15,2,Đang học,12,3,1,Khá
779,SV15012013,Nhiên Dương,Nam,2006-09-28,Hải Phòng,2024-08-27,Khóa 15,2,Cảnh báo học vụ,12,3,1,Khá
780,SV15012014,Anh Châu Dương,Nam,2006-07-24,Hải Phòng,2024-09-03,Khóa 15,2,Đang học,12,3,1,Giỏi
781,SV15012015,Hoàng Trí Bùi,Nam,2006-08-21,Vĩnh Phúc,2024-09-03,Khóa 15,2,Bảo lưu,12,3,1,Giỏi
782,SV15012016,Dương Mai,Nữ,2006-10-25,Hà Nam,2024-08-23,Khóa 15,2,Cảnh báo học vụ,12,3,1,Khá
783,SV15012017,An Thế Dương,Nam,2006-11-01,Bắc Giang,2024-08-17,Khóa 15,2,Đang học,12,3,1,Khá
784,SV15012018,Minh Mai Phạm,Nam,2006-09-15,Thái Nguyên,2024-08-19,Khóa 15,2,Đang học,12,3,1,Khá
785,SV15012019,Thành Hải Vũ,Nam,2006-03-26,Thái Nguyên,2024-08-13,Khóa 15,2,Đang học,12,3,1,Khá
786,SV15012020,Nhật Đặng,Nữ,2006-05-09,Nghệ An,2024-08-05,Khóa 15,2,Đang học,12,3,1,Giỏi
787,SV15012021,Hoàng Trí Hoàng,Nam,2006-07-12,Nghệ An,2024-09-18,Khóa 15,2,Cảnh báo học vụ,12,3,1,Trung bình
788,SV15012022,Quý cô Hồng Đặng,Nữ,2006-06-07,Ninh Bình,2024-09-05,Khóa 15,2,Đang học,12,3,1,Xuất sắc
789,SV15012023,Bà Nhật Lê,Nữ,2006-03-05,Thái Nguyên,2024-09-04,Khóa 15,2,Cảnh báo học vụ,12,3,1,Yếu
790,SV15012024,Quý ông Hoàng Trần,Nam,2006-07-22,Hà Nam,2024-09-13,Khóa 15,2,Đang học,12,3,1,Yếu
791,SV15012025,Ông Vũ Lê,Nam,2006-11-23,Thái Bình,2024-09-06,Khóa 15,2,Đang học,12,3,1,Khá
792,SV15012026,Hoàng Hoàng,Nam,2006-08-17,Hà Nội,2024-08-19,Khóa 15,2,Đang học,12,3,1,Khá
793,SV15012027,Dũng Đức Dương,Nam,2006-07-06,Phú Thọ,2024-09-06,Khóa 15,2,Đang học,12,3,1,Khá
794,SV15012028,Bác Quang Bùi,Nam,2006-05-08,Hà Nội,2024-08-03,Khóa 15,2,Đang học,12,3,1,Trung bình
795,SV15012029,Vũ Mai,Nam,2006-05-16,Bắc Giang,2024-08-19,Khóa 15,2,Đang học,12,3,1,Khá
796,SV15012030,Quý cô Duyên Hoàng,Nữ,2006-08-05,Quảng Ninh,2024-08-09,Khóa 15,2,Đang học,12,3,1,Khá
797,SV15012031,Duyên Trần,Nữ,2006-09-03,Thái Nguyên,2024-08-07,Khóa 15,2,Đang học,12,3,1,Khá
798,SV15012032,Nhật Hoàng,Nữ,2006-08-17,Phú Thọ,2024-08-20,Khóa 15,2,Đang học,12,3,1,Trung bình
799,SV15012033,Dũng Phạm,Nam,2006-02-07,Thái Bình,2024-08-12,Khóa 15,2,Đang học,12,3,1,Giỏi
800,SV15012034,Hưng Phú Dương,Nam,2006-02-12,Thái Nguyên,2024-09-15,Khóa 15,2,Đang học,12,3,1,Khá
801,SV15012035,Bác Thành Trần,Nam,2006-01-19,Bắc Giang,2024-08-06,Khóa 15,2,Cảnh báo học vụ,12,3,1,Khá
802,SV15012036,Quý ông Phúc Phạm,Nam,2006-04-07,Hải Phòng,2024-08-28,Khóa 15,2,Cảnh báo học vụ,12,3,1,Khá
803,SV15012037,Thành Quang Lê,Nam,2006-09-23,Hà Nam,2024-09-13,Khóa 15,2,Đang học,12,3,1,Xuất sắc
804,SV15012038,An Phạm,Nữ,2006-01-11,Thanh Hóa,2024-08-13,Khóa 15,2,Đang học,12,3,1,Trung bình
805,SV15012039,Hoàng Tấn Dương,Nam,2006-01-19,Thái Nguyên,2024-09-20,Khóa 15,2,Cảnh báo học vụ,12,3,1,Xuất sắc
806,SV15012040,Bác Nam Dương,Nam,2006-04-08,Vĩnh Phúc,2024-08-02,Khóa 15,2,Đang học,12,3,1,Khá
807,SV15012041,Quý ông Phúc Mai,Nam,2006-02-19,Vĩnh Phúc,2024-09-24,Khóa 15,2,Đang học,12,3,1,Trung bình
808,SV15012042,Nhật Trí Phạm,Nam,2006-08-16,Thái Bình,2024-09-17,Khóa 15,2,Đang học,12,3,1,Khá
809,SV15012043,Quang Quang Lê,Nam,2006-01-28,Hà Nội,2024-09-27,Khóa 15,2,Đang học,12,3,1,Khá
810,SV15012044,Ông Vũ Phạm,Nam,2006-04-16,Thái Nguyên,2024-08-02,Khóa 15,2,Đang học,12,3,1,Trung bình
811,SV15012045,Thành Mai Bảo Bùi,Nam,2006-05-23,Nam Định,2024-09-11,Khóa 15,2,Cảnh báo học vụ,12,3,1,Trung bình
812,SV15012046,Hạnh Mai Bảo Nguyễn,Nam,2006-09-05,Nghệ An,2024-09-07,Khóa 15,2,Đang học,12,3,1,Trung bình
813,SV15012047,Quý ông Minh Nguyễn,Nam,2006-05-16,Thái Bình,2024-09-14,Khóa 15,2,Đang học,12,3,1,Giỏi
814,SV15012048,Bà Hương Mai,Nữ,2006-01-18,Hà Nội,2024-08-05,Khóa 15,2,Đang học,12,3,1,Khá
815,SV15012049,Khoa Mai Bùi,Nam,2006-10-21,Hưng Yên,2024-08-13,Khóa 15,2,Cảnh báo học vụ,12,3,1,Yếu
816,SV15012050,Kim Đức Đặng,Nam,2006-02-07,Hà Nam,2024-09-15,Khóa 15,2,Đang học,12,3,1,Trung bình
817,SV15012051,An Mai Đặng,Nam,2006-06-21,Ninh Bình,2024-08-17,Khóa 15,2,Đang học,12,3,1,Xuất sắc
818,SV15012052,Thành Lê,Nam,2006-12-14,Hà Nam,2024-08-29,Khóa 15,2,Đang học,12,3,1,Khá
819,SV15012053,Huy Hữu Dương,Nam,2006-04-09,Ninh Bình,2024-09-02,Khóa 15,2,Đang học,12,3,1,Giỏi
820,SV15012054,Châu Thị Mai,Nam,2006-06-16,Vĩnh Phúc,2024-09-16,Khóa 15,2,Đang học,12,3,1,Trung bình
821,SV15012055,Tùng Trí Nguyễn,Nam,2006-05-01,Bắc Giang,2024-09-17,Khóa 15,2,Đang học,12,3,1,Trung bình
822,SV15012056,Phương Trần,Nữ,2006-06-21,Hà Nội,2024-09-18,Khóa 15,2,Đang học,12,3,1,Giỏi
823,SV15012057,Ông Trung Hoàng,Nam,2006-12-05,Thanh Hóa,2024-09-28,Khóa 15,2,Đang học,12,3,1,Giỏi
824,SV15012058,Chị Thảo Bùi,Nữ,2006-03-18,Phú Thọ,2024-09-14,Khóa 15,2,Đang học,12,3,1,Trung bình
825,SV15012059,Quý ông Quang Dương,Nam,2006-10-02,Ninh Bình,2024-09-20,Khóa 15,2,Đang học,12,3,1,Khá
826,SV15012060,Lâm Văn Vũ,Nam,2006-03-07,Thái Bình,2024-09-16,Khóa 15,2,Cảnh báo học vụ,12,3,1,Khá
827,SV15012061,Chị Ngọc Hoàng,Nữ,2006-09-04,Hà Nam,2024-08-18,Khóa 15,2,Đang học,12,3,1,Khá
828,SV15012062,Kim Vũ,Nữ,2006-02-08,Phú Thọ,2024-08-01,Khóa 15,2,Đang học,12,3,1,Khá
829,SV15012063,Dũng Quang Dương,Nam,2006-09-18,Bắc Ninh,2024-08-06,Khóa 15,2,Bảo lưu,12,3,1,Khá
830,SV15012064,Lâm Phú Đặng,Nam,2006-05-31,Hải Dương,2024-09-18,Khóa 15,2,Đang học,12,3,1,Giỏi
831,SV15012065,Minh Trí Nguyễn,Nam,2006-07-31,Nam Định,2024-08-02,Khóa 15,2,Cảnh báo học vụ,12,3,1,Yếu
832,SV15012066,Vũ Lê,Nam,2006-05-24,Ninh Bình,2024-08-05,Khóa 15,2,Cảnh báo học vụ,12,3,1,Yếu
833,SV15012067,Huy Đặng,Nam,2006-04-07,Nghệ An,2024-08-03,Khóa 15,2,Đang học,12,3,1,Khá
834,SV15012068,Phương Nguyễn,Nữ,2006-07-19,Thái Nguyên,2024-09-18,Khóa 15,2,Đang học,12,3,1,Khá
835,SV15012069,Bác Hoàng Trần,Nam,2006-02-07,Thái Nguyên,2024-09-05,Khóa 15,2,Đang học,12,3,1,Trung bình
836,SV15012070,Kim Phạm,Nữ,2006-11-10,Thái Nguyên,2024-08-31,Khóa 15,2,Đang học,12,3,1,Giỏi
837,SV15012071,Nhật Phạm,Nữ,2006-02-11,Thái Bình,2024-09-23,Khóa 15,2,Cảnh báo học vụ,12,3,1,Yếu
838,SV16013001,Thành Hoàng,Nam,2007-12-28,Thanh Hóa,2025-09-22,Khóa 16,1,Đang học,13,3,1,Khá
839,SV16013002,An Mai Bảo Phạm,Nam,2007-07-13,Vĩnh Phúc,2025-08-27,Khóa 16,1,Đang học,13,3,1,Yếu
840,SV16013003,Hưng Hữu Trần,Nam,2007-06-20,Nghệ An,2025-09-10,Khóa 16,1,Cảnh báo học vụ,13,3,1,Khá
841,SV16013004,Quý cô Dương Đặng,Nữ,2007-03-12,Ninh Bình,2025-09-05,Khóa 16,1,Đang học,13,3,1,Khá
842,SV16013005,Huy Trần,Nam,2007-07-12,Hà Nội,2025-09-08,Khóa 16,1,Đang học,13,3,1,Khá
843,SV16013006,Nhật Quang Trần,Nam,2007-10-30,Thái Bình,2025-09-01,Khóa 16,1,Đang học,13,3,1,Giỏi
844,SV16013007,Quý ông Thành Phạm,Nam,2007-09-26,Hải Phòng,2025-08-10,Khóa 16,1,Cảnh báo học vụ,13,3,1,Yếu
845,SV16013008,Quang Đặng,Nam,2007-09-16,Bắc Giang,2025-08-10,Khóa 16,1,Đang học,13,3,1,Khá
846,SV16013009,Thành Trí Hoàng,Nam,2007-04-12,Hưng Yên,2025-09-09,Khóa 16,1,Cảnh báo học vụ,13,3,1,Trung bình
847,SV16013010,Chị Lâm Mai,Nữ,2007-09-06,Thanh Hóa,2025-09-17,Khóa 16,1,Đang học,13,3,1,Trung bình
848,SV16013011,Bảo Trí Hoàng,Nam,2007-11-16,Hưng Yên,2025-08-02,Khóa 16,1,Đang học,13,3,1,Khá
849,SV16013012,Quý cô Chi Dương,Nữ,2007-12-22,Hải Phòng,2025-08-13,Khóa 16,1,Đang học,13,3,1,Xuất sắc
850,SV16013013,Bảo Thị Bùi,Nam,2007-03-07,Hà Nam,2025-08-04,Khóa 16,1,Đang học,13,3,1,Khá
851,SV16013014,Lâm Đức Đặng,Nam,2007-11-29,Bắc Giang,2025-08-26,Khóa 16,1,Đang học,13,3,1,Giỏi
852,SV16013015,Ông Vũ Trần,Nam,2007-09-06,Bắc Ninh,2025-08-08,Khóa 16,1,Đang học,13,3,1,Giỏi
853,SV16013016,Quang Mai Phạm,Nam,2007-11-18,Hải Dương,2025-09-06,Khóa 16,1,Đang học,13,3,1,Trung bình
854,SV16013017,Bảo Phạm,Nam,2007-11-23,Vĩnh Phúc,2025-09-03,Khóa 16,1,Đang học,13,3,1,Trung bình
855,SV16013018,Bảo Quang Lê,Nam,2007-01-04,Thái Bình,2025-09-21,Khóa 16,1,Đang học,13,3,1,Trung bình
856,SV16013019,Tùng Phạm,Nam,2007-03-22,Hưng Yên,2025-08-23,Khóa 16,1,Đang học,13,3,1,Giỏi
857,SV16013020,Lâm Trần,Nữ,2007-08-31,Thanh Hóa,2025-09-06,Khóa 16,1,Đang học,13,3,1,Yếu
858,SV16013021,Ông Châu Vũ,Nam,2007-11-29,Vĩnh Phúc,2025-08-26,Khóa 16,1,Đang học,13,3,1,Khá
859,SV16013022,Hương Mai,Nữ,2007-07-05,Ninh Bình,2025-09-22,Khóa 16,1,Đang học,13,3,1,Trung bình
860,SV16013023,Khoa Mai Bảo Nguyễn,Nam,2007-12-07,Hưng Yên,2025-08-17,Khóa 16,1,Đang học,13,3,1,Khá
861,SV16013024,An Văn Hoàng,Nam,2007-04-21,Thái Bình,2025-09-26,Khóa 16,1,Đang học,13,3,1,Yếu
862,SV16013025,Quang Mai Bùi,Nam,2007-06-28,Thái Bình,2025-09-11,Khóa 16,1,Đang học,13,3,1,Trung bình
863,SV16013026,Hạnh Nguyễn,Nữ,2007-06-17,Hải Dương,2025-08-03,Khóa 16,1,Đang học,13,3,1,Khá
864,SV16013027,Hồng Vũ,Nữ,2007-08-01,Thanh Hóa,2025-09-15,Khóa 16,1,Đang học,13,3,1,Khá
865,SV16013028,Minh Mai Bảo Hoàng,Nam,2007-01-08,Thái Nguyên,2025-08-05,Khóa 16,1,Bảo lưu,13,3,1,Khá
866,SV16013029,Khoa Trí Đặng,Nam,2007-06-17,Thanh Hóa,2025-09-02,Khóa 16,1,Đang học,13,3,1,Xuất sắc
867,SV16013030,Cô Vân Đặng,Nữ,2007-03-02,Hà Nam,2025-09-27,Khóa 16,1,Đang học,13,3,1,Trung bình
868,SV16013031,Bà Nhật Trần,Nữ,2007-10-02,Vĩnh Phúc,2025-09-02,Khóa 16,1,Đang học,13,3,1,Khá
869,SV16013032,Bảo Đức Trần,Nam,2007-12-11,Hưng Yên,2025-09-23,Khóa 16,1,Đang học,13,3,1,Khá
870,SV16013033,Châu Quang Nguyễn,Nam,2007-03-12,Hưng Yên,2025-08-24,Khóa 16,1,Đang học,13,3,1,Khá
871,SV16013034,Phúc Văn Dương,Nam,2007-02-17,Hải Dương,2025-08-10,Khóa 16,1,Đang học,13,3,1,Yếu
872,SV16013035,Quý cô Thảo Vũ,Nữ,2007-06-29,Bắc Giang,2025-08-18,Khóa 16,1,Bảo lưu,13,3,1,Trung bình
873,SV16013036,Quý ông Nam Phạm,Nam,2007-08-22,Hưng Yên,2025-08-28,Khóa 16,1,Đang học,13,3,1,Trung bình
874,SV16013037,Thành Nguyễn,Nam,2007-07-28,Hưng Yên,2025-08-02,Khóa 16,1,Đang học,13,3,1,Giỏi
875,SV16013038,Cô Hải Hoàng,Nữ,2007-03-30,Hải Dương,2025-08-13,Khóa 16,1,Đang học,13,3,1,Khá
876,SV16013039,Chị Nhật Đặng,Nữ,2007-10-19,Hải Dương,2025-09-20,Khóa 16,1,Đang học,13,3,1,Trung bình
877,SV16013040,Anh Dương,Nam,2007-10-11,Hải Dương,2025-09-20,Khóa 16,1,Đang học,13,3,1,Giỏi
878,SV16013041,Nhật Hoàng,Nữ,2007-04-25,Vĩnh Phúc,2025-08-14,Khóa 16,1,Đang học,13,3,1,Trung bình
879,SV16013042,Hải Hữu Dương,Nam,2007-12-01,Quảng Ninh,2025-09-12,Khóa 16,1,Đang học,13,3,1,Khá
880,SV16013043,Bác Trọng Phạm,Nam,2007-11-07,Nghệ An,2025-09-03,Khóa 16,1,Đang học,13,3,1,Yếu
881,SV16013044,Trung Đặng,Nam,2007-10-02,Thái Nguyên,2025-08-07,Khóa 16,1,Đang học,13,3,1,Khá
882,SV16013045,Ông Nam Mai,Nam,2007-12-20,Nghệ An,2025-09-26,Khóa 16,1,Đang học,13,3,1,Trung bình
883,SV16013046,Quý cô Phương Trần,Nữ,2007-02-10,Thanh Hóa,2025-09-02,Khóa 16,1,Đang học,13,3,1,Khá
884,SV16013047,Quý cô An Đặng,Nữ,2007-03-10,Phú Thọ,2025-08-15,Khóa 16,1,Cảnh báo học vụ,13,3,1,Khá
885,SV16013048,Bảo Mai Nguyễn,Nam,2007-04-11,Phú Thọ,2025-08-04,Khóa 16,1,Cảnh báo học vụ,13,3,1,Yếu
886,SV16013049,Kim Vũ,Nữ,2007-04-11,Hải Dương,2025-09-28,Khóa 16,1,Đang học,13,3,1,Giỏi
887,SV16013050,Hạnh Đức Vũ,Nam,2007-09-29,Bắc Ninh,2025-09-26,Khóa 16,1,Đang học,13,3,1,Khá
888,SV16013051,Cô Thành Vũ,Nữ,2007-08-18,Nghệ An,2025-08-21,Khóa 16,1,Đang học,13,3,1,Khá
889,SV16013052,Quang Phạm,Nam,2007-01-11,Nam Định,2025-08-19,Khóa 16,1,Đang học,13,3,1,Khá
890,SV16013053,Minh Hoàng Lê,Nam,2007-06-19,Hà Nội,2025-09-08,Khóa 16,1,Cảnh báo học vụ,13,3,1,Trung bình
891,SV16013054,Bà Chi Hoàng,Nữ,2007-07-14,Bắc Ninh,2025-08-24,Khóa 16,1,Đang học,13,3,1,Khá
892,SV16013055,Cô Hương Lê,Nữ,2007-03-24,Thanh Hóa,2025-09-04,Khóa 16,1,Đang học,13,3,1,Xuất sắc
893,SV16013056,Tú Mai Bảo Nguyễn,Nam,2007-11-19,Bắc Ninh,2025-09-12,Khóa 16,1,Đang học,13,3,1,Trung bình
894,SV16013057,Kim Đức Vũ,Nam,2007-09-05,Vĩnh Phúc,2025-09-26,Khóa 16,1,Đang học,13,3,1,Trung bình
895,SV16013058,Khoa Đức Đặng,Nam,2007-09-07,Thanh Hóa,2025-09-19,Khóa 16,1,Cảnh báo học vụ,13,3,1,Xuất sắc
896,SV16013059,Ông Dũng Mai,Nam,2007-08-29,Nghệ An,2025-08-21,Khóa 16,1,Đang học,13,3,1,Khá
897,SV16013060,Bác Huy Dương,Nam,2007-08-01,Phú Thọ,2025-08-17,Khóa 16,1,Đang học,13,3,1,Trung bình
898,SV16013061,Anh Mai Bảo Vũ,Nam,2007-01-12,Phú Thọ,2025-09-15,Khóa 16,1,Đang học,13,3,1,Khá
899,SV16013062,Minh Nguyễn,Nam,2007-12-14,Thái Nguyên,2025-08-09,Khóa 16,1,Đang học,13,3,1,Giỏi
900,SV16013063,Lan Nguyễn,Nữ,2007-08-01,Thanh Hóa,2025-08-23,Khóa 16,1,Đang học,13,3,1,Xuất sắc
901,SV16013064,Tú Vũ,Nam,2007-09-21,Nam Định,2025-08-04,Khóa 16,1,Đang học,13,3,1,Khá
902,SV16013065,Chị Lâm Bùi,Nữ,2007-02-18,Hải Phòng,2025-09-08,Khóa 16,1,Đang học,13,3,1,Trung bình
903,SV16013066,Hạnh Mai Trần,Nam,2007-05-13,Hà Nội,2025-08-21,Khóa 16,1,Đang học,13,3,1,Yếu
904,SV16013067,Quang Trí Dương,Nam,2007-08-12,Thanh Hóa,2025-08-28,Khóa 16,1,Đang học,13,3,1,Khá
905,SV16013068,Bác Khoa Đặng,Nam,2007-07-09,Hà Nội,2025-09-18,Khóa 16,1,Đang học,13,3,1,Yếu
906,SV16013069,Ông Nhiên Vũ,Nam,2007-06-05,Quảng Ninh,2025-08-16,Khóa 16,1,Đang học,13,3,1,Trung bình
907,SV16013070,Anh Tú Mai,Nam,2007-12-08,Hải Dương,2025-08-29,Khóa 16,1,Đang học,13,3,1,Khá
908,SV16013071,Minh Bảo Trần,Nam,2007-05-24,Thái Nguyên,2025-08-05,Khóa 16,1,Đang học,13,3,1,Khá
909,SV16013072,Ông Bảo Lê,Nam,2007-02-16,Nam Định,2025-08-28,Khóa 16,1,Đang học,13,3,1,Khá
910,SV16014001,Bà Thảo Nguyễn,Nữ,2007-10-29,Phú Thọ,2025-09-14,Khóa 16,1,Đang học,14,3,1,Trung bình
911,SV16014002,Tú Đức Lê,Nam,2007-10-17,Nghệ An,2025-09-04,Khóa 16,1,Đang học,14,3,1,Trung bình
912,SV16014003,Quang Mai,Nam,2007-08-29,Thanh Hóa,2025-08-05,Khóa 16,1,Đang học,14,3,1,Khá
913,SV16014004,Vũ Lê,Nam,2007-05-12,Bắc Ninh,2025-09-22,Khóa 16,1,Đang học,14,3,1,Trung bình
914,SV16014005,Khoa Tấn Trần,Nam,2007-09-20,Hà Nội,2025-08-01,Khóa 16,1,Đang học,14,3,1,Yếu
915,SV16014006,Kim Xuân Hoàng,Nam,2007-08-31,Bắc Giang,2025-09-04,Khóa 16,1,Bảo lưu,14,3,1,Trung bình
916,SV16014007,Ông Phúc Trần,Nam,2007-01-27,Hải Dương,2025-09-25,Khóa 16,1,Đang học,14,3,1,Khá
917,SV16014008,Bác Trọng Bùi,Nam,2007-12-04,Ninh Bình,2025-08-23,Khóa 16,1,Đang học,14,3,1,Khá
918,SV16014009,Thành Phú Bùi,Nam,2007-05-12,Vĩnh Phúc,2025-09-24,Khóa 16,1,Đang học,14,3,1,Trung bình
919,SV16014010,Quý cô Hạnh Nguyễn,Nữ,2007-03-13,Thái Bình,2025-09-01,Khóa 16,1,Đang học,14,3,1,Giỏi
920,SV16014011,Bà Phương Bùi,Nữ,2007-08-11,Vĩnh Phúc,2025-08-13,Khóa 16,1,Cảnh báo học vụ,14,3,1,Khá
921,SV16014012,Bảo Thế Đặng,Nam,2007-07-11,Bắc Giang,2025-08-23,Khóa 16,1,Đang học,14,3,1,Trung bình
922,SV16014013,Tú Đức Dương,Nam,2007-12-17,Quảng Ninh,2025-09-03,Khóa 16,1,Đang học,14,3,1,Trung bình
923,SV16014014,Lâm Đức Phạm,Nam,2007-01-15,Nghệ An,2025-09-21,Khóa 16,1,Cảnh báo học vụ,14,3,1,Khá
924,SV16014015,Ông Hoàng Trần,Nam,2007-01-31,Nam Định,2025-08-20,Khóa 16,1,Đang học,14,3,1,Khá
925,SV16014016,Huy Trần,Nam,2007-05-22,Hà Nam,2025-09-24,Khóa 16,1,Đang học,14,3,1,Xuất sắc
926,SV16014017,Cô Mai Mai,Nữ,2007-06-09,Hưng Yên,2025-09-25,Khóa 16,1,Đang học,14,3,1,Giỏi
927,SV16014018,Cô Lâm Vũ,Nữ,2007-01-15,Quảng Ninh,2025-08-09,Khóa 16,1,Đang học,14,3,1,Khá
928,SV16014019,Bà Ngọc Đặng,Nữ,2007-01-22,Hải Phòng,2025-08-09,Khóa 16,1,Đang học,14,3,1,Xuất sắc
929,SV16014020,Huy Đặng,Nam,2007-08-09,Thanh Hóa,2025-09-23,Khóa 16,1,Đang học,14,3,1,Trung bình
930,SV16014021,Dũng Đức Nguyễn,Nam,2007-11-14,Quảng Ninh,2025-09-06,Khóa 16,1,Đang học,14,3,1,Khá
931,SV16014022,Hoàng Đặng,Nam,2007-08-11,Nam Định,2025-08-13,Khóa 16,1,Đang học,14,3,1,Khá
932,SV16014023,Kim Tấn Vũ,Nam,2007-01-17,Hưng Yên,2025-09-01,Khóa 16,1,Đang học,14,3,1,Yếu
933,SV16014024,Hạnh Mai Bùi,Nam,2007-10-28,Ninh Bình,2025-08-21,Khóa 16,1,Đang học,14,3,1,Khá
934,SV16014025,Thành Đặng,Nữ,2007-07-26,Hà Nội,2025-09-23,Khóa 16,1,Đang học,14,3,1,Khá
935,SV16014026,Dũng Đức Nguyễn,Nam,2007-05-15,Ninh Bình,2025-09-01,Khóa 16,1,Đang học,14,3,1,Khá
